Time,Open,High,Low,Close,Volume
30.12.2003 00:00:00.000,1.25701,1.26477,1.25198,1.26308,1361691.78
06.01.2004 00:00:00.000,1.26308,1.28665,1.25576,1.28467,6765085.76
13.01.2004 00:00:00.000,1.28482,1.28956,1.23494,1.23822,6757732.01
20.01.2004 00:00:00.000,1.23817,1.27732,1.23323,1.25670,6763082.26
27.01.2004 00:00:00.000,1.25661,1.26608,1.23491,1.24721,6735953.41
03.02.2004 00:00:00.000,1.24704,1.27226,1.23882,1.26429,6796561.91
10.02.2004 00:00:00.000,1.26450,1.28898,1.26441,1.27252,6848849.38
17.02.2004 00:00:00.000,1.27267,1.29247,1.24928,1.25063,6810364.17
24.02.2004 00:00:00.000,1.25026,1.27115,1.23718,1.25297,6797115.58
02.03.2004 00:00:00.000,1.25300,1.25398,1.20546,1.23609,6781882.15
09.03.2004 00:00:00.000,1.23604,1.24573,1.21620,1.22099,6809678.18
16.03.2004 00:00:00.000,1.22088,1.24315,1.21730,1.22730,6787614.76
23.03.2004 00:00:00.000,1.22733,1.23983,1.20733,1.21146,6849062.08
30.03.2004 00:00:00.000,1.21141,1.23862,1.20559,1.21021,6767932.23
06.04.2004 00:00:00.000,1.20990,1.22166,1.19802,1.20683,6727002.19
13.04.2004 00:00:00.000,1.20726,1.20956,1.18678,1.20123,6814795.83
20.04.2004 00:00:00.000,1.20132,1.20756,1.17758,1.17893,6813722.40
27.04.2004 00:00:00.000,1.17908,1.20089,1.17573,1.19837,6827434.04
04.05.2004 00:00:00.000,1.19844,1.21786,1.18580,1.18602,6829305.24
11.05.2004 00:00:00.000,1.18619,1.19402,1.17708,1.18799,6861010.33
18.05.2004 00:00:00.000,1.18838,1.20679,1.18782,1.19897,6862497.27
25.05.2004 00:00:00.000,1.19899,1.22956,1.19324,1.22299,6836079.01
01.06.2004 00:00:00.000,1.22307,1.23339,1.21395,1.23253,6652790.83
08.06.2004 00:00:00.000,1.23269,1.23500,1.19600,1.19760,6835305.65
15.06.2004 00:00:00.000,1.19745,1.21694,1.19512,1.21289,6851116.51
22.06.2004 00:00:00.000,1.21305,1.21911,1.20380,1.21659,6820108.63
29.06.2004 00:00:00.000,1.21641,1.23350,1.20630,1.23254,6804655.64
06.07.2004 00:00:00.000,1.23279,1.24220,1.22638,1.24151,6770835.19
13.07.2004 00:00:00.000,1.24146,1.24602,1.22979,1.24521,6807669.11
20.07.2004 00:00:00.000,1.24509,1.24609,1.20843,1.21046,6826478.02
27.07.2004 00:00:00.000,1.21067,1.21890,1.19912,1.20565,6777166.84
03.08.2004 00:00:00.000,1.20563,1.22900,1.19695,1.22725,6824155.81
10.08.2004 00:00:00.000,1.22697,1.23826,1.21750,1.23707,6789996.72
17.08.2004 00:00:00.000,1.23717,1.23845,1.22791,1.23099,6800695.51
24.08.2004 00:00:00.000,1.23124,1.23140,1.19995,1.20086,6781606.56
31.08.2004 00:00:00.000,1.20071,1.22198,1.19849,1.20652,6762476.44
07.09.2004 00:00:00.000,1.20641,1.23069,1.20242,1.22824,6738950.63
14.09.2004 00:00:00.000,1.22813,1.22938,1.21192,1.21654,6756691.76
21.09.2004 00:00:00.000,1.21647,1.23595,1.21212,1.22751,6753042.43
28.09.2004 00:00:00.000,1.22725,1.24427,1.22449,1.23871,6779876.46
05.10.2004 00:00:00.000,1.23870,1.24317,1.22455,1.24077,6762632.71
12.10.2004 00:00:00.000,1.24085,1.24987,1.22257,1.24819,6746250.21
19.10.2004 00:00:00.000,1.24795,1.27407,1.24488,1.27366,6773979.23
26.10.2004 00:00:00.000,1.27340,1.28400,1.26405,1.28243,6710502.68
02.11.2004 00:00:00.000,1.28220,1.29725,1.26575,1.29606,6724368.51
09.11.2004 00:00:00.000,1.29601,1.30014,1.28496,1.29856,6691737.21
16.11.2004 00:00:00.000,1.29834,1.30715,1.29154,1.30203,6729143.21
23.11.2004 00:00:00.000,1.30193,1.33278,1.29758,1.32669,6688237.09
30.11.2004 00:00:00.000,1.32656,1.34592,1.32281,1.34458,6650793.04
07.12.2004 00:00:00.000,1.34433,1.34681,1.31391,1.32188,6638795.39
14.12.2004 00:00:00.000,1.32196,1.34415,1.31917,1.33088,6675224.14
21.12.2004 00:00:00.000,1.33101,1.35455,1.32945,1.35229,6673948.38
28.12.2004 00:00:00.000,1.35231,1.36649,1.35027,1.35761,6418795.54
04.01.2005 00:00:00.000,1.35772,1.35777,1.30234,1.30706,6670195.37
11.01.2005 00:00:00.000,1.30719,1.32908,1.30552,1.30949,6634874.43
18.01.2005 00:00:00.000,1.30953,1.31260,1.29197,1.30371,6144244.46
25.01.2005 00:00:00.000,1.30374,1.31209,1.29436,1.30185,6640131.07
01.02.2005 00:00:00.000,1.30189,1.30912,1.28450,1.28504,6671792.81
08.02.2005 00:00:00.000,1.28508,1.29033,1.27299,1.28826,6646435.17
15.02.2005 00:00:00.000,1.28790,1.30882,1.28776,1.30659,6678994.03
22.02.2005 00:00:00.000,1.30658,1.32731,1.30303,1.32477,6640298.61
01.03.2005 00:00:00.000,1.32469,1.32777,1.30869,1.32330,6666271.16
08.03.2005 00:00:00.000,1.32334,1.34767,1.31763,1.34685,6625089.16
15.03.2005 00:00:00.000,1.34714,1.34759,1.32583,1.33132,6660726.10
22.03.2005 00:00:00.000,1.33157,1.33159,1.29241,1.29509,6693748.79
29.03.2005 00:00:00.000,1.29508,1.30445,1.28536,1.28812,6894427.56
05.04.2005 00:00:00.000,1.28809,1.29367,1.27977,1.29239,6886559.87
12.04.2005 00:00:00.000,1.29190,1.30045,1.27667,1.29132,6782024.51
19.04.2005 00:00:00.000,1.29094,1.31192,1.28725,1.30435,6756796.92
26.04.2005 00:00:00.000,1.30413,1.30448,1.28476,1.28480,6769784.44
03.05.2005 00:00:00.000,1.28493,1.29880,1.28077,1.28129,6780559.27
10.05.2005 00:00:00.000,1.28132,1.29099,1.25817,1.26035,6776034.31
17.05.2005 00:00:00.000,1.26016,1.26885,1.25268,1.25475,6758453.96
24.05.2005 00:00:00.000,1.25490,1.26270,1.24906,1.25137,6723826.69
31.05.2005 00:00:00.000,1.25122,1.25441,1.21581,1.22202,6717124.74
07.06.2005 00:00:00.000,1.22174,1.23508,1.21020,1.21136,6618852.28
14.06.2005 00:00:00.000,1.21121,1.22887,1.20121,1.22082,6707031.38
21.06.2005 00:00:00.000,1.22072,1.22648,1.19861,1.21243,6719093.51
28.06.2005 00:00:00.000,1.21236,1.21836,1.19047,1.19309,6696530.98
05.07.2005 00:00:00.000,1.19319,1.20380,1.18663,1.19665,6726172.62
12.07.2005 00:00:00.000,1.19651,1.22549,1.19551,1.20425,6715510.47
19.07.2005 00:00:00.000,1.20413,1.22460,1.19521,1.20582,6701990.36
26.07.2005 00:00:00.000,1.20549,1.21580,1.19634,1.21219,6723424.42
02.08.2005 00:00:00.000,1.21196,1.24006,1.21193,1.23283,6726313.58
09.08.2005 00:00:00.000,1.23299,1.24846,1.23114,1.24507,6754128.18
16.08.2005 00:00:00.000,1.24528,1.24528,1.21246,1.21607,6730338.68
23.08.2005 00:00:00.000,1.21607,1.23428,1.21571,1.23367,6721163.86
30.08.2005 00:00:00.000,1.23362,1.25875,1.21690,1.25333,6742385.43
06.09.2005 00:00:00.000,1.25282,1.25830,1.23724,1.24117,6715870.68
13.09.2005 00:00:00.000,1.24112,1.24129,1.21422,1.21620,6692361.64
20.09.2005 00:00:00.000,1.21623,1.22667,1.20151,1.20325,6671876.44
27.09.2005 00:00:00.000,1.20316,1.20879,1.19778,1.20240,6627693.48
04.10.2005 00:00:00.000,1.20231,1.22032,1.18985,1.21253,6611507.33
11.10.2005 00:00:00.000,1.21245,1.21517,1.19127,1.20635,6622651.05
18.10.2005 00:00:00.000,1.20607,1.21184,1.18742,1.19289,6623056.16
25.10.2005 00:00:00.000,1.19288,1.21709,1.19185,1.20599,6629862.04
01.11.2005 00:00:00.000,1.20591,1.20877,1.17958,1.18022,6676462.56
08.11.2005 00:00:00.000,1.18024,1.18297,1.16692,1.17318,6644593.96
15.11.2005 00:00:00.000,1.17309,1.17909,1.16404,1.17721,6575664.07
22.11.2005 00:00:00.000,1.17716,1.18612,1.16865,1.17119,6546081.46
29.11.2005 00:00:00.000,1.17114,1.19005,1.16620,1.17154,6541816.93
06.12.2005 00:00:00.000,1.17143,1.18480,1.16865,1.17886,6550815.38
13.12.2005 00:00:00.000,1.17893,1.20586,1.17877,1.20337,6566072.00
20.12.2005 00:00:00.000,1.20330,1.20358,1.17999,1.18545,6565313.84
27.12.2005 00:00:00.000,1.18530,1.19297,1.17764,1.18440,6557962.24
03.01.2006 00:00:00.000,1.18428,1.21765,1.18088,1.21383,6562881.09
10.01.2006 00:00:00.000,1.21388,1.21727,1.20061,1.21645,6578363.23
17.01.2006 00:00:00.000,1.21629,1.21689,1.20427,1.21625,6545391.69
24.01.2006 00:00:00.000,1.21620,1.23204,1.20860,1.21030,6590133.67
31.01.2006 00:00:00.000,1.21032,1.21880,1.19694,1.20238,6548986.63
07.02.2006 00:00:00.000,1.20239,1.20450,1.18874,1.18981,6518607.30
14.02.2006 00:00:00.000,1.18988,1.19497,1.18494,1.19439,6516911.71
21.02.2006 00:00:00.000,1.19428,1.19726,1.18285,1.18350,6522491.21
28.02.2006 00:00:00.000,1.18353,1.20907,1.18254,1.20790,6529367.91
07.03.2006 00:00:00.000,1.20799,1.20910,1.18593,1.19138,6518541.73
14.03.2006 00:00:00.000,1.19139,1.22061,1.19139,1.21749,6520213.42
21.03.2006 00:00:00.000,1.21746,1.21948,1.19482,1.20322,6549505.66
28.03.2006 00:00:00.000,1.20317,1.21736,1.19804,1.21019,6530503.44
04.04.2006 00:00:00.000,1.21011,1.23294,1.20330,1.21007,6548616.03
11.04.2006 00:00:00.000,1.20999,1.21661,1.20648,1.21343,6519126.47
18.04.2006 00:00:00.000,1.21340,1.23927,1.21325,1.23662,6539152.61
25.04.2006 00:00:00.000,1.23667,1.26390,1.23326,1.26143,6576435.51
02.05.2006 00:00:00.000,1.26155,1.27615,1.25545,1.27397,6545524.72
09.05.2006 00:00:00.000,1.27385,1.29698,1.26610,1.29486,7253474.11
16.05.2006 00:00:00.000,1.29460,1.29497,1.26946,1.27594,9968393.80
23.05.2006 00:00:00.000,1.27598,1.28848,1.26950,1.27472,9977022.06
30.05.2006 00:00:00.000,1.27460,1.29367,1.27220,1.29245,9993578.01
06.06.2006 00:00:00.000,1.29250,1.29767,1.25963,1.26067,9961163.72
13.06.2006 00:00:00.000,1.26068,1.26701,1.24987,1.26341,9960164.46
20.06.2006 00:00:00.000,1.26331,1.26770,1.24764,1.25155,9940884.17
27.06.2006 00:00:00.000,1.25148,1.27927,1.24861,1.27876,9938050.97
04.07.2006 00:00:00.000,1.27874,1.28571,1.27058,1.28083,9906485.89
11.07.2006 00:00:00.000,1.28062,1.28092,1.26249,1.26310,9901322.13
18.07.2006 00:00:00.000,1.26305,1.27094,1.24439,1.26950,9928827.98
25.07.2006 00:00:00.000,1.26903,1.27712,1.25580,1.27694,9890518.76
01.08.2006 00:00:00.000,1.27699,1.29075,1.27182,1.28848,9918447.51
08.08.2006 00:00:00.000,1.28852,1.29090,1.26884,1.27365,9902290.06
15.08.2006 00:00:00.000,1.27353,1.28845,1.26953,1.28342,9912188.46
22.08.2006 00:00:00.000,1.28342,1.29374,1.27260,1.27578,9927394.98
29.08.2006 00:00:00.000,1.27561,1.28776,1.27489,1.28525,9969637.13
05.09.2006 00:00:00.000,1.28527,1.28737,1.26495,1.26671,10090948.22
12.09.2006 00:00:00.000,1.26685,1.27507,1.26232,1.26358,10114932.19
19.09.2006 00:00:00.000,1.26358,1.28292,1.26346,1.27856,10080722.96
26.09.2006 00:00:00.000,1.27885,1.28183,1.26387,1.26810,10108479.33
03.10.2006 00:00:00.000,1.26808,1.27637,1.25722,1.25938,10094613.25
10.10.2006 00:00:00.000,1.25944,1.26124,1.24823,1.24984,10072417.21
17.10.2006 00:00:00.000,1.24972,1.26397,1.24863,1.26143,10089980.60
24.10.2006 00:00:00.000,1.26160,1.27493,1.25228,1.27269,10122073.96
31.10.2006 00:00:00.000,1.27284,1.27961,1.26793,1.27156,10132586.26
07.11.2006 00:00:00.000,1.27151,1.28963,1.26890,1.28457,10090638.67
14.11.2006 00:00:00.000,1.28437,1.28768,1.27586,1.28182,10090964.76
21.11.2006 00:00:00.000,1.28179,1.31714,1.27970,1.31546,10064403.63
28.11.2006 00:00:00.000,1.31540,1.33653,1.30856,1.33536,9997526.13
05.12.2006 00:00:00.000,1.33526,1.33611,1.31649,1.31840,10055152.60
12.12.2006 00:00:00.000,1.31819,1.32906,1.30586,1.30803,10099444.68
19.12.2006 00:00:00.000,1.30804,1.32432,1.30522,1.31349,10096328.71
26.12.2006 00:00:00.000,1.31316,1.32049,1.30865,1.31913,10196781.00
02.01.2007 00:00:00.000,1.31908,1.32951,1.29804,1.30039,10093062.47
09.01.2007 00:00:00.000,1.30055,1.30517,1.28668,1.29242,10086616.66
16.01.2007 00:00:00.000,1.29254,1.29998,1.28971,1.29590,10069246.13
23.01.2007 00:00:00.000,1.29597,1.30423,1.28807,1.29192,10070527.36
30.01.2007 00:00:00.000,1.29215,1.30615,1.28948,1.29582,10069613.67
06.02.2007 00:00:00.000,1.29597,1.30452,1.29095,1.30167,10091749.30
13.02.2007 00:00:00.000,1.30147,1.31716,1.29390,1.31465,10111517.19
20.02.2007 00:00:00.000,1.31462,1.31881,1.30796,1.31800,10120141.82
