Time,Open,High,Low,Close,Volume
01.01.2014 01:00:00.000,1.37653,1.37746,1.36294,1.36653,199117.53
02.01.2014 01:00:00.000,1.36653,1.36719,1.35820,1.35874,193632.84
03.01.2014 01:00:00.000,1.35874,1.35874,1.35874,1.35874,0.00
04.01.2014 01:00:00.000,1.35935,1.36005,1.35890,1.35955,2823.08
05.01.2014 01:00:00.000,1.35957,1.36527,1.35715,1.36296,189223.73
06.01.2014 01:00:00.000,1.36297,1.36562,1.35965,1.36170,204173.11
07.01.2014 01:00:00.000,1.36170,1.36350,1.35529,1.35715,209302.75
08.01.2014 01:00:00.000,1.35714,1.36330,1.35480,1.36062,221843.59
09.01.2014 01:00:00.000,1.36062,1.36869,1.35710,1.36661,195201.91
10.01.2014 01:00:00.000,1.36661,1.36661,1.36661,1.36661,0.00
11.01.2014 01:00:00.000,1.36783,1.36786,1.36643,1.36720,3789.77
12.01.2014 01:00:00.000,1.36719,1.36847,1.36370,1.36686,179419.11
13.01.2014 01:00:00.000,1.36684,1.36993,1.36490,1.36671,177116.48
14.01.2014 01:00:00.000,1.36670,1.36731,1.35814,1.35995,178873.52
15.01.2014 01:00:00.000,1.35994,1.36493,1.35830,1.36154,176183.08
16.01.2014 01:00:00.000,1.36153,1.36209,1.35169,1.35389,163132.16
17.01.2014 01:00:00.000,1.35389,1.35389,1.35389,1.35389,0.00
18.01.2014 01:00:00.000,1.35373,1.35375,1.35248,1.35270,3851.52
19.01.2014 01:00:00.000,1.35272,1.35679,1.35075,1.35459,120202.37
20.01.2014 01:00:00.000,1.35457,1.35687,1.35164,1.35572,176772.09
21.01.2014 01:00:00.000,1.35571,1.35835,1.35345,1.35439,169664.30
22.01.2014 01:00:00.000,1.35439,1.36983,1.35303,1.36882,248787.52
23.01.2014 01:00:00.000,1.36882,1.37394,1.36627,1.36737,216233.19
24.01.2014 01:00:00.000,1.36737,1.36737,1.36737,1.36737,0.00
25.01.2014 01:00:00.000,1.36773,1.36906,1.36731,1.36867,5553.46
26.01.2014 01:00:00.000,1.36868,1.37166,1.36531,1.36741,193342.31
27.01.2014 01:00:00.000,1.36741,1.36885,1.36290,1.36540,171590.88
28.01.2014 01:00:00.000,1.36538,1.36846,1.36030,1.36574,224702.94
29.01.2014 01:00:00.000,1.36572,1.36624,1.35434,1.35574,234697.06
30.01.2014 01:00:00.000,1.35575,1.35728,1.34790,1.34827,240687.66
31.01.2014 01:00:00.000,1.34827,1.34827,1.34827,1.34827,0.00
01.02.2014 01:00:00.000,1.34841,1.34912,1.34818,1.34873,3629.13
02.02.2014 01:00:00.000,1.34873,1.35354,1.34772,1.35226,230509.77
03.02.2014 01:00:00.000,1.35226,1.35385,1.34934,1.35159,201621.27
04.02.2014 01:00:00.000,1.35156,1.35554,1.34990,1.35337,213095.45
05.02.2014 01:00:00.000,1.35338,1.36188,1.34820,1.35917,223807.78
06.02.2014 01:00:00.000,1.35916,1.36424,1.35519,1.36342,193127.05
07.02.2014 01:00:00.000,1.36342,1.36342,1.36342,1.36342,0.00
08.02.2014 01:00:00.000,1.36165,1.36269,1.36160,1.36186,3053.41
09.02.2014 01:00:00.000,1.36185,1.36514,1.36184,1.36451,143303.63
10.02.2014 01:00:00.000,1.36451,1.36829,1.36295,1.36366,182680.50
11.02.2014 01:00:00.000,1.36366,1.36527,1.35623,1.35877,197226.83
12.02.2014 01:00:00.000,1.35876,1.36918,1.35855,1.36759,202744.20
13.02.2014 01:00:00.000,1.36759,1.37147,1.36736,1.36914,168199.92
14.02.2014 01:00:00.000,1.36914,1.36914,1.36914,1.36914,0.00
15.02.2014 01:00:00.000,1.37083,1.37097,1.36950,1.37041,3124.19
16.02.2014 01:00:00.000,1.37041,1.37240,1.36921,1.37038,114561.54
17.02.2014 01:00:00.000,1.37036,1.37704,1.36946,1.37603,181482.63
18.02.2014 01:00:00.000,1.37603,1.37731,1.37244,1.37293,155350.69
19.02.2014 01:00:00.000,1.37293,1.37625,1.36855,1.37205,147077.02
20.02.2014 01:00:00.000,1.37205,1.37586,1.37020,1.37375,116097.39
21.02.2014 01:00:00.000,1.37375,1.37375,1.37375,1.37375,0.00
22.02.2014 01:00:00.000,1.37326,1.37414,1.37325,1.37375,1958.19
23.02.2014 01:00:00.000,1.37376,1.37710,1.37084,1.37345,120817.10
24.02.2014 01:00:00.000,1.37345,1.37671,1.37155,1.37458,136327.23
25.02.2014 01:00:00.000,1.37457,1.37571,1.36617,1.36809,151360.94
26.02.2014 01:00:00.000,1.36808,1.37268,1.36432,1.37061,147824.34
27.02.2014 01:00:00.000,1.37064,1.38248,1.36941,1.37990,176251.66
28.02.2014 01:00:00.000,1.37990,1.37990,1.37990,1.37990,0.00
01.03.2014 01:00:00.000,1.37593,1.37880,1.37551,1.37740,5887.10
02.03.2014 01:00:00.000,1.37741,1.37926,1.37263,1.37355,130624.76
03.03.2014 01:00:00.000,1.37355,1.37815,1.37208,1.37419,124944.41
04.03.2014 01:00:00.000,1.37415,1.37488,1.37075,1.37314,118258.12
05.03.2014 01:00:00.000,1.37314,1.38729,1.37212,1.38633,163455.83
06.03.2014 01:00:00.000,1.38633,1.39150,1.38521,1.38753,141384.98
07.03.2014 01:00:00.000,1.38753,1.38753,1.38753,1.38753,0.00
08.03.2014 01:00:00.000,1.38749,1.38796,1.38697,1.38771,3563.02
09.03.2014 01:00:00.000,1.38772,1.38978,1.38616,1.38759,105023.10
10.03.2014 01:00:00.000,1.38760,1.38766,1.38338,1.38563,123617.06
11.03.2014 01:00:00.000,1.38563,1.39142,1.38433,1.39023,144347.80
12.03.2014 01:00:00.000,1.39023,1.39667,1.38456,1.38650,210937.89
13.03.2014 01:00:00.000,1.38649,1.39372,1.38476,1.39059,152332.94
14.03.2014 01:00:00.000,1.39059,1.39059,1.39059,1.39059,0.00
15.03.2014 01:00:00.000,1.39065,1.39173,1.39027,1.39090,4907.40
16.03.2014 01:00:00.000,1.39091,1.39475,1.38791,1.39253,119658.67
17.03.2014 01:00:00.000,1.39251,1.39425,1.38799,1.39292,139982.45
18.03.2014 01:00:00.000,1.39293,1.39324,1.38097,1.38181,148508.56
19.03.2014 01:00:00.000,1.38180,1.38448,1.37494,1.37786,152361.36
20.03.2014 01:00:00.000,1.37787,1.38106,1.37657,1.37915,114199.04
21.03.2014 01:00:00.000,1.37915,1.37915,1.37915,1.37915,0.00
22.03.2014 01:00:00.000,1.37968,1.38063,1.37881,1.37969,3441.33
23.03.2014 01:00:00.000,1.37968,1.38754,1.37604,1.38362,132822.92
24.03.2014 01:00:00.000,1.38364,1.38469,1.37491,1.38199,164939.44
25.03.2014 01:00:00.000,1.38200,1.38233,1.37766,1.37856,157953.84
26.03.2014 01:00:00.000,1.37855,1.37968,1.37286,1.37405,148441.95
27.03.2014 01:00:00.000,1.37406,1.37730,1.37048,1.37491,120842.73
28.03.2014 01:00:00.000,1.37491,1.37491,1.37491,1.37491,0.00
29.03.2014 01:00:00.000,1.37612,1.37636,1.37451,1.37531,3332.75
30.03.2014 01:00:00.000,1.37530,1.38067,1.37216,1.37739,119090.51
31.03.2014 02:00:00.000,1.37739,1.38155,1.37692,1.37933,94038.29
01.04.2014 02:00:00.000,1.37933,1.38202,1.37532,1.37665,96886.14
02.04.2014 02:00:00.000,1.37666,1.38064,1.36982,1.37227,147319.14
03.04.2014 02:00:00.000,1.37227,1.37308,1.36728,1.37016,135092.83
04.04.2014 02:00:00.000,1.37016,1.37016,1.37016,1.37016,0.00
05.04.2014 02:00:00.000,1.36964,1.37041,1.36943,1.37036,2985.99
06.04.2014 02:00:00.000,1.37036,1.37486,1.36972,1.37420,101004.91
07.04.2014 02:00:00.000,1.37420,1.38115,1.37374,1.37929,134065.50
08.04.2014 02:00:00.000,1.37930,1.38619,1.37799,1.38523,142058.66
09.04.2014 02:00:00.000,1.38523,1.38990,1.38360,1.38865,140826.97
10.04.2014 02:00:00.000,1.38866,1.39056,1.38635,1.38843,122176.17
11.04.2014 02:00:00.000,1.38843,1.38843,1.38843,1.38843,0.00
12.04.2014 02:00:00.000,1.38433,1.38606,1.38416,1.38470,5761.48
13.04.2014 02:00:00.000,1.38471,1.38630,1.38081,1.38155,119526.69
14.04.2014 02:00:00.000,1.38153,1.38331,1.37903,1.38110,122386.13
15.04.2014 02:00:00.000,1.38111,1.38508,1.38037,1.38237,119833.11
16.04.2014 02:00:00.000,1.38236,1.38645,1.38105,1.38105,105610.82
17.04.2014 02:00:00.000,1.38105,1.38223,1.38077,1.38077,25516.35
18.04.2014 02:00:00.000,1.38077,1.38077,1.38077,1.38077,0.00
19.04.2014 02:00:00.000,1.38121,1.38173,1.38106,1.38141,2263.84
20.04.2014 02:00:00.000,1.38142,1.38304,1.37871,1.37916,46137.01
21.04.2014 02:00:00.000,1.37916,1.38248,1.37850,1.38069,96930.26
22.04.2014 02:00:00.000,1.38070,1.38546,1.38003,1.38170,133030.53
23.04.2014 02:00:00.000,1.38170,1.38429,1.37914,1.38303,125642.72
24.04.2014 02:00:00.000,1.38304,1.38482,1.38267,1.38329,96486.83
25.04.2014 02:00:00.000,1.38329,1.38329,1.38329,1.38329,0.00
26.04.2014 02:00:00.000,1.38447,1.38447,1.38357,1.38390,2489.65
27.04.2014 02:00:00.000,1.38389,1.38794,1.38147,1.38518,131037.95
28.04.2014 02:00:00.000,1.38518,1.38791,1.38055,1.38130,156695.69
29.04.2014 02:00:00.000,1.38129,1.38765,1.37750,1.38679,194255.38
30.04.2014 02:00:00.000,1.38680,1.38892,1.38628,1.38699,108122.56
01.05.2014 02:00:00.000,1.38698,1.38813,1.38122,1.38706,165025.58
02.05.2014 02:00:00.000,1.38706,1.38706,1.38706,1.38706,0.00
03.05.2014 02:00:00.000,1.38818,1.38838,1.38710,1.38717,7850.66
04.05.2014 02:00:00.000,1.38716,1.38860,1.38645,1.38746,121529.76
05.05.2014 02:00:00.000,1.38746,1.39512,1.38721,1.39291,151786.70
06.05.2014 02:00:00.000,1.39291,1.39385,1.39092,1.39105,162509.06
07.05.2014 02:00:00.000,1.39105,1.39933,1.38331,1.38425,223628.50
08.05.2014 02:00:00.000,1.38427,1.38437,1.37451,1.37553,191745.95
09.05.2014 02:00:00.000,1.37553,1.37553,1.37553,1.37553,0.00
10.05.2014 02:00:00.000,1.37526,1.37610,1.37522,1.37603,3457.33
11.05.2014 02:00:00.000,1.37603,1.37748,1.37494,1.37554,132364.41
12.05.2014 02:00:00.000,1.37555,1.37714,1.36891,1.37078,193907.39
13.05.2014 02:00:00.000,1.37077,1.37308,1.36979,1.37176,169154.03
14.05.2014 02:00:00.000,1.37175,1.37322,1.36484,1.37169,201896.48
15.05.2014 02:00:00.000,1.37169,1.37268,1.36853,1.36922,135192.56
16.05.2014 02:00:00.000,1.36922,1.36922,1.36922,1.36922,0.00
17.05.2014 02:00:00.000,1.36927,1.37029,1.36926,1.37029,11798.27
18.05.2014 02:00:00.000,1.37029,1.37341,1.36986,1.37124,144736.70
19.05.2014 02:00:00.000,1.37124,1.37138,1.36780,1.37033,158404.63
20.05.2014 02:00:00.000,1.37033,1.37231,1.36345,1.36817,164294.95
21.05.2014 02:00:00.000,1.36819,1.36870,1.36452,1.36533,159470.33
22.05.2014 02:00:00.000,1.36532,1.36534,1.36156,1.36274,154646.66
23.05.2014 02:00:00.000,1.36274,1.36274,1.36274,1.36274,0.00
24.05.2014 02:00:00.000,1.36233,1.36307,1.36145,1.36275,3677.20
25.05.2014 02:00:00.000,1.36275,1.36544,1.36155,1.36518,88442.29
26.05.2014 02:00:00.000,1.36519,1.36685,1.36125,1.36336,148089.80
27.05.2014 02:00:00.000,1.36337,1.36378,1.35885,1.35919,159546.27
28.05.2014 02:00:00.000,1.35919,1.36255,1.35862,1.36026,155468.23
29.05.2014 02:00:00.000,1.36027,1.36500,1.35984,1.36331,159149.02
30.05.2014 02:00:00.000,1.36331,1.36331,1.36331,1.36331,0.00
31.05.2014 02:00:00.000,1.36359,1.36373,1.36221,1.36287,4794.88
01.06.2014 02:00:00.000,1.36287,1.36361,1.35881,1.35965,165085.05
02.06.2014 02:00:00.000,1.35965,1.36478,1.35875,1.36208,164899.48
03.06.2014 02:00:00.000,1.36208,1.36387,1.35965,1.36025,177202.33
04.06.2014 02:00:00.000,1.36024,1.36698,1.35030,1.36603,259512.45
05.06.2014 02:00:00.000,1.36603,1.36765,1.36210,1.36418,176988.13
06.06.2014 02:00:00.000,1.36418,1.36418,1.36418,1.36418,0.00
07.06.2014 02:00:00.000,1.36436,1.36484,1.36426,1.36477,2087.32
08.06.2014 02:00:00.000,1.36476,1.36687,1.35826,1.35923,148065.05
09.06.2014 02:00:00.000,1.35925,1.36018,1.35335,1.35392,222950.13
10.06.2014 02:00:00.000,1.35391,1.35571,1.35215,1.35357,201045.05
11.06.2014 02:00:00.000,1.35359,1.35719,1.35123,1.35505,206363.34
12.06.2014 02:00:00.000,1.35505,1.35790,1.35210,1.35354,192386.94
13.06.2014 02:00:00.000,1.35354,1.35354,1.35354,1.35354,0.00
14.06.2014 02:00:00.000,1.35406,1.35407,1.35310,1.35359,4244.58
15.06.2014 02:00:00.000,1.35359,1.35794,1.35130,1.35757,184503.31
16.06.2014 02:00:00.000,1.35757,1.35870,1.35364,1.35487,197908.86
17.06.2014 02:00:00.000,1.35489,1.35993,1.35417,1.35895,192145.56
18.06.2014 02:00:00.000,1.35896,1.36434,1.35848,1.36101,215110.19
19.06.2014 02:00:00.000,1.36100,1.36339,1.35643,1.35992,214651.13
20.06.2014 02:00:00.000,1.35992,1.35992,1.35992,1.35992,0.00
21.06.2014 02:00:00.000,1.35888,1.35964,1.35888,1.35910,3909.78
22.06.2014 02:00:00.000,1.35910,1.36135,1.35741,1.36000,280379.41
23.06.2014 02:00:00.000,1.36002,1.36277,1.35834,1.36058,261625.94
24.06.2014 02:00:00.000,1.36059,1.36511,1.36005,1.36278,269446.44
25.06.2014 02:00:00.000,1.36279,1.36413,1.35762,1.36114,301313.72
26.06.2014 02:00:00.000,1.36114,1.36505,1.36100,1.36477,261372.13
27.06.2014 02:00:00.000,1.36477,1.36477,1.36477,1.36477,0.00
28.06.2014 02:00:00.000,1.36435,1.36477,1.36425,1.36434,2093.50
29.06.2014 02:00:00.000,1.36434,1.36977,1.36402,1.36914,223829.38
30.06.2014 02:00:00.000,1.36913,1.37004,1.36755,1.36802,300434.69
01.07.2014 02:00:00.000,1.36802,1.36812,1.36400,1.36531,287107.41
02.07.2014 02:00:00.000,1.36531,1.36642,1.35960,1.36088,358414.16
03.07.2014 02:00:00.000,1.36086,1.36112,1.35855,1.35944,209969.50
04.07.2014 02:00:00.000,1.35944,1.35944,1.35944,1.35944,0.00
05.07.2014 02:00:00.000,1.35945,1.35966,1.35840,1.35880,7168.18
06.07.2014 02:00:00.000,1.35881,1.36091,1.35759,1.36058,299239.91
07.07.2014 02:00:00.000,1.36058,1.36173,1.35882,1.36167,377918.47
08.07.2014 02:00:00.000,1.36166,1.36483,1.36022,1.36432,309667.19
09.07.2014 02:00:00.000,1.36433,1.36507,1.35891,1.36042,369468.31
10.07.2014 02:00:00.000,1.36041,1.36247,1.35919,1.36035,119086.75
11.07.2014 02:00:00.000,1.36035,1.36035,1.36035,1.36035,0.00
