Time,Open,High,Low,Close,Volume
01.01.2011 01:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
01.01.2011 02:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
01.01.2011 03:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
01.01.2011 04:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
01.01.2011 05:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
01.01.2011 06:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
01.01.2011 07:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
01.01.2011 08:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
01.01.2011 09:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
01.01.2011 10:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
01.01.2011 11:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
01.01.2011 12:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
01.01.2011 13:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
01.01.2011 14:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
01.01.2011 15:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
01.01.2011 16:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
01.01.2011 17:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
01.01.2011 18:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
01.01.2011 19:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
01.01.2011 20:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
01.01.2011 21:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
01.01.2011 22:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
01.01.2011 23:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 00:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 01:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 02:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 03:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 04:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 05:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 06:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 07:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 08:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 09:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 10:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 11:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 12:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 13:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 14:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 15:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 16:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 17:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 18:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 19:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 20:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 21:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 22:00:00.000,1.33762,1.33762,1.33762,1.33762,0.00
02.01.2011 23:00:00.000,1.33450,1.33619,1.33353,1.33426,1638000000.00
03.01.2011 00:00:00.000,1.33423,1.33606,1.33339,1.33557,3378000000.00
03.01.2011 01:00:00.000,1.33560,1.33587,1.33166,1.33211,6244000000.00
03.01.2011 02:00:00.000,1.33212,1.33234,1.32758,1.32814,7559000000.00
03.01.2011 03:00:00.000,1.32815,1.32987,1.32765,1.32818,3939000000.00
03.01.2011 04:00:00.000,1.32821,1.32937,1.32821,1.32902,2870000000.00
03.01.2011 05:00:00.000,1.32897,1.32964,1.32868,1.32949,1787000000.00
03.01.2011 06:00:00.000,1.32949,1.33019,1.32931,1.32968,2283000000.00
03.01.2011 07:00:00.000,1.32972,1.33098,1.32835,1.33098,3012000000.00
