DATE	TIME	VOLUME	OPEN	CLOSE	MIN	MAX
10/11/1994	00:00:01	0	19790	19821	19790	19895
10/12/1994	00:00:01	0	19861	20090	19847	20115
10/13/1994	00:00:01	0	20085	20149	20043	20177
10/14/1994	00:00:01	0	20107	19969	19964	20107
10/15/1994	00:00:01	0	19969	19969	19969	19969
10/16/1994	00:00:01	0	19969	19969	19969	19969
10/17/1994	00:00:01	0	19974	19958	19908	20055
10/18/1994	00:00:01	0	19965	19992	19947	20021
10/19/1994	00:00:01	0	20013	19869	19863	20023
10/20/1994	00:00:01	0	19875	19992	19875	19992
10/21/1994	00:00:01	0	19934	19899	19785	19934
10/22/1994	00:00:01	0	19899	19899	19899	19899
10/23/1994	00:00:01	0	19899	19899	19899	19899
10/24/1994	00:00:01	0	19909	19852	19831	19953
10/25/1994	00:00:01	0	19832	19732	19732	19832
10/26/1994	00:00:01	0	19732	19746	19706	19771
10/27/1994	00:00:01	0	19742	19796	19724	19920
10/28/1994	00:00:01	0	19832	19805	19726	19904
10/29/1994	00:00:01	0	19805	19805	19805	19805
10/30/1994	00:00:01	0	19805	19805	19805	19805
10/31/1994	00:00:01	0	19855	19990	19855	20000
11/01/1994	00:00:01	0	19929	19916	19837	19929
11/02/1994	00:00:01	0	19892	19751	19714	19892
11/03/1994	00:00:01	0	19751	19751	19751	19751
11/04/1994	00:00:01	0	19800	19812	19769	19873
11/05/1994	00:00:01	0	19812	19812	19812	19812
11/06/1994	00:00:01	0	19812	19812	19812	19812
11/07/1994	00:00:01	0	19755	19619	19594	19755
11/08/1994	00:00:01	0	19637	19610	19544	19638
11/09/1994	00:00:01	0	19570	19424	19331	19654
11/10/1994	00:00:01	0	19454	19265	19238	19457
11/11/1994	00:00:01	0	19286	19284	19132	19288
11/12/1994	00:00:01	0	19284	19284	19284	19284
11/13/1994	00:00:01	0	19284	19284	19284	19284
11/14/1994	00:00:01	0	19246	19261	19116	19299
11/15/1994	00:00:01	0	19315	19392	19315	19433
11/16/1994	00:00:01	0	19399	19307	19252	19444
11/17/1994	00:00:01	0	19299	19337	19277	19373
11/18/1994	00:00:01	0	19330	19303	19199	19332
11/19/1994	00:00:01	0	19303	19303	19303	19303
11/20/1994	00:00:01	0	19303	19303	19303	19303
11/21/1994	00:00:01	0	19310	19122	19122	19315
